Movie Names,Release Year,Movie Genres,Movie IMDb Ratings,Movie Url,Movie Streaming Service
animal-2022,(2023),Action & Adventure,6.2,https://www.justwatch.com/in/movie/animal-2022,Netflix
dune-2021,(2021),Drama,8.4,https://www.justwatch.com/in/movie/dune-2021,Apple TV
salaar,(2023),Crime,5.7,https://www.justwatch.com/in/movie/salaar,Netflix
anyone-but-you,(2023),Mystery & Thriller,6.9,https://www.justwatch.com/in/movie/anyone-but-you,Apple TV
ssmb-28,(2024),Action & Adventure,8.6,https://www.justwatch.com/in/movie/ssmb-28,Netflix
captain-miller,(2024),Science-Fiction,7.0,https://www.justwatch.com/in/movie/captain-miller,Amazon Prime Video
hanu-man,(2024),Drama,6.7,https://www.justwatch.com/in/movie/hanu-man,Provider not found
ayalaan,(2024),Drama,6.4,https://www.justwatch.com/in/movie/ayalaan,Sun Nxt
poor-things,(2023),Mystery & Thriller,8.9,https://www.justwatch.com/in/movie/poor-things,Apple TV
aquaman-and-the-lost-kingdom,(2023),Action & Adventure,8.7,https://www.justwatch.com/in/movie/aquaman-and-the-lost-kingdom,Apple TV
eagle-2024,(2024),Crime,6.5,https://www.justwatch.com/in/movie/eagle-2024,Amazon Prime Video
fighter-2022,(2024),Comedy,7.6,https://www.justwatch.com/in/movie/fighter-2022,Provider not found
article-370,(2024),Romance,8.3,https://www.justwatch.com/in/movie/article-370,Provider not found
untitled-shahid-kapoor-kriti-sanon-film,(2024),Action & Adventure,6.7,https://www.justwatch.com/in/movie/untitled-shahid-kapoor-kriti-sanon-film,Bookmyshow
the-marvels,(2023),Drama,8.3,https://www.justwatch.com/in/movie/the-marvels,Apple TV
jawan,(2023),Kids & Family,5.6,https://www.justwatch.com/in/movie/jawan,Apple TV
upgraded,(2024),Mystery & Thriller,3.3,https://www.justwatch.com/in/movie/upgraded,Amazon Prime Video
migration,(2023),Action & Adventure,6.7,https://www.justwatch.com/in/movie/migration,Apple TV
the-beekeeper-2024,(2024),Drama,3.7,https://www.justwatch.com/in/movie/the-beekeeper-2024,Provider not found
365-days,(2020),Comedy,6.8,https://www.justwatch.com/in/movie/365-days,Netflix
dune-part-two,(2024),Fantasy,7.6,https://www.justwatch.com/in/movie/dune-part-two,Bookmyshow
sapta-sagaradaache-ello-side-b,(2023),Action & Adventure,6.8,https://www.justwatch.com/in/movie/sapta-sagaradaache-ello-side-b,Amazon Prime Video
nani30,(2023),Science-Fiction,6.7,https://www.justwatch.com/in/movie/nani30,Netflix
manjummel-boys,(2024),Action & Adventure,5.9,https://www.justwatch.com/in/movie/manjummel-boys,Bookmyshow
sound-of-freedom,(2023),Science-Fiction,4.1,https://www.justwatch.com/in/movie/sound-of-freedom,Amazon Prime Video
crakk-jeetegaa-toh-jiyegaa,(2024),Romance,6.9,https://www.justwatch.com/in/movie/crakk-jeetegaa-toh-jiyegaa,Bookmyshow
malaikottai-vaaliban,(2024),Comedy,6.5,https://www.justwatch.com/in/movie/malaikottai-vaaliban,Hotstar
killers-of-the-flower-moon,(2023),Drama,6.6,https://www.justwatch.com/in/movie/killers-of-the-flower-moon,Apple TV Plus
